conv,polivanov,hepburn,kunrei,hiragana,katakana,comment
,,,,,,
а,а,a,a,あ,ア,
е,е,e,e,え,エ,
и,и,i,i,い,イ,
у,у,u,u,う,ウ,
э,э,e,e,え,エ,
о,о,o,o,お,オ,
я,я,ya,ya,や,ヤ,
ю,ю,yu,yu,ゆ,ユ,
ы,и,i,i,い,イ,
ё,ё,yo,yo,よ,ヨ,
,,,,,,
ка,ка,ka,ka,か,カ,
ки,ки,ki,ki,き,キ,
ку,ку,ku,ku,く,ク,
кэ,кэ,ke,ke,け,ク,
ко,ко,ko,ko,こ,コ,
кя,кя,kya,kya,きゃ,キャ,
кю,кю,kyu,kyu,きゅ,キュ,
кё,кё,kyo,kyo,きょ,キョ,
,,,,,,
са,са,sa,sa,さ,サ,
си,си,shi,si,し,シ,
су,су,su,su,す,ス,
сэ,сэ,se,se,せ,セ,
со,со,so,si,そ,ソ,
ся,ся,sha,sya,しゃ,シャ,
сю,сю,shu,syu,しゅ,シュ,
сё,сё,sho,syo,しょ,ショ,
,,,,,,
та,та,ta,ta,た,タ,
ти,ти,chi,ti,ち,チ,
цу,цу,tsu,tu,つ,ツ,
тэ,тэ,te,te,て,テ,
то,то,to,to,と,ト,
тя,тя,cha,tya,ちゃ,チャ,
тю,тю,chu,tyu,ちゅ,チュ,
тё,тё,cho,tyo,ちょ,チョ,
,,,,,,
на,на,na,na,な,ナ,
ни,ни,ni,ni,に,ニ,
ну,ну,nu,nu,ぬ,ヌ,
нэ,нэ,ne,ne,ね,ネ,
но,но,no,no,の,ノ,
ня,ня,nya,nya,にゃ,ニャ,
ню,ню,nyu,nyu,にゅ,ニュ,
нё,нё,nyo,nyo,にょ,ニョ,
,,,,,,
ха,ха,ha,ha,は,ハ,
хи,хи,hi,hi,ひ,ヒ,
фу,фу,fu,hu,ふ,フ,
хэ,хэ,he,he,へ,ヘ,
хо,хо,ho,ho,ほ,ホ,
хя,хя,hya,hya,ひゃ,ヒャ,
хю,хю,hyu,hyu,ひゅ,ヒュ,
хё,хё,hyo,hyo,ひょ,ヒョ,
,,,,,,
ма,ма,ma,ma,ま,マ,
ми,ми,mi,mi,み,ミ,
му,му,mu,mu,む,ム,
мэ,мэ,me,me,め,メ,
мо,мо,mo,mo,も,モ,
мя,мя,mya,mya,みゃ,ミャ,
мю,мю,myu,myu,みゅ,ミュ,
мё,мё,myo,myo,みょ,ミョ,
,,,,,,
ра,ра,ra,ra,ら,ラ,
ри,ри,ri,ri,り,リ,
ру,ру,ru,ru,る,ル,
рэ,рэ,re,re,れ,レ,
ро,ро,ro,ro,ろ,ロ,
ря,ря,rya,rya,りゃ,リャ,
рю,рю,ryu,ryu,りゅ,リュ,
рё,рё,ryo,ryo,りょ,リョ,
,,,,,,
ва,ва,wa,wa,わ,ワ,
во,во,wo,wo,を,ヲ,«во» чтобы не путать с お
ви,ви,wi,wi,ゐ,ヰ,устаревший
вэ,вэ,we,we,ゑ,ヱ,устаревший
н,н,n,n,ん,ン,
,,,,,,
га,га,ga,ga,が,ガ,
ги,ги,gi,gi,ぎ,ギ,
гу,гу,gu,gu,ぐ,グ,
гэ,гэ,ge,ge,げ,ゲ,
го,го,go,go,ご,ゴ,
гя,гя,gya,gya,ぎゃ,ギャ,
гю,гю,gyu,gyu,ぎゅ,ギュ,
гё,гё,gyo,gyo,ぎょ,ギョ,
,,,,,,
дза,дза,za,za,ざ,ザ,
дзи,дзи,ji,zi,じ,ジ,
дзу,дзу,zu,zu,ず,ズ,
дзэ,дзэ,ze,ze,ぜ,ゼ,
дзо,дзо,zo,zo,ぞ,ゾ,
дзя,дзя,ja,zya,じゃ,ジャ,
дзю,дзю,ju,zyu,じゅ,ジュ,
дзё,дзё,jo,zyo,じょ,ジョ,
,,,,,,
да,да,da,da,だ,ダ,
ди,дзи,ji,zi,ぢ,ヂ,совпадает с рядом ДЗ
ду,дзу,zu,zu,づ,ヅ,совпадает с рядом ДЗ
дэ,дэ,de,de,で,デ,
до,до,do,do,ど,ド,
дя,дзя,ja,zya,ぢゃ,ヂャ,совпадает с рядом ДЗ
дю,дзю,ju,zyo,ぢゅ,ヂュ,совпадает с рядом ДЗ
дё,дзё,jo,zyo,ぢょ,ヂョ,совпадает с рядом ДЗ
,,,,,,
ба,ба,ba,ba,ば,バ,
би,би,bi,bi,び,ビ,
бу,бу,bu,bu,ぶ,ブ,
бэ,бэ,be,be,べ,ベ,
бо,бо,bo,bo,ぼ,ボ,
бя,бя,bya,bya,びゃ,ビャ,
бю,бю,byu,byu,びゅ,ビュ,
бё,бё,byo,byo,びょ,ビョ,
,,,,,,
па,па,pa,pa,ぱ,パ,
пи,пи,pi,pi,ぴ,ピ,
пу,пу,pu,pu,ぷ,プ,
пэ,пэ,pe,pe,ぺ,ペ,
по,по,po,po,ぽ,ポ,
пя,пя,pya,pya,ぴゃ,ピャ,
пю,пю,pyu,pyu,ぴゅ,ピュ,
пё,пё,pyo,pyo,ぴょ,ピョ,
