src,conv,comment
,,
дза,дза,
дзе,дзэ,
дзё,дзё,
дзи,дзи,
дзо,дзо,
дзу,дзу,
дзы,дзи,
дзэ,дзэ,
дзю,дзю,
дзя,дзя,
,,
джа,дза,
дже,дзэ,
джё,дзё,
джи,дзи,
джо,дзо,
джу,дзу,
джы,дзи,
джэ,дзэ,
джю,дзю,
джя,дзя,
,,
ба,ба,
бе,бэ,
бё,бё,
би,би,
бо,бо,
бу,бу,
бы,би,
бэ,бэ,
бю,бю,
бя,бя,
ва,ва,
ве,во э,возможно использование устаревшего ゑ (вэ)
вё,во,
ви,во и,возможно использование устаревшего ゐ (ви)
во,во,
ву,во у,
вы,во и,
вэ,во э,
вю,во ю,
вя,ва,
га,га,
ге,гэ,
гё,гё,
ги,ги,
го,го,
гу,гу,
гы,ги,
гэ,гэ,
гю,гю,
гя,гя,
да,да,
де,дэ,
дё,дё,"дзё, ряд Д"
ди,ди,"дзи, ряд Д"
до,до,
ду,ду,"дзу, ряд Д"
ды,ди,"дзи, ряд Д"
дэ,дэ,
дю,дю,"дзю, ряд Д"
дя,дя,"дзя, ряд Д"
жа,дза,
же,дзэ,
жё,дзё,
жи,дзи,
жо,дзё,
жу,дзё,
жы,дзи,
жэ,дзэ,
жю,дзю,
жя,дзя,
за,дза,
зе,дзэ,
зё,дзё,
зи,дзи,
зо,дзо,
зу,дзу,
зы,дзи,
зэ,дзэ,
зю,дзю,
зя,дзя,
йа,и я,
йе,и э,
йё,и ё,
йи,и,
йо,и ё,
йу,и ю,
йы,и,
йэ,и э,
йю,и ю,
йя,и я,
ка,ка,
ке,кэ,
кё,кё,
ки,ки,
ко,ко,
ку,ку,
кы,ки,
кэ,кэ,
кю,кю,
кя,кя,
ла,ра,
ле,рэ,
лё,рё,
ли,ри,
ло,ро,
лу,ру,
лы,ри,
лэ,рэ,
лю,рю,
ля,ря,
ма,ма,
ме,мэ,
мё,мё,
ми,ми,
мо,мо,
му,му,
мы,ми,
мэ,мэ,
мю,мю,
мя,мя,
на,на,
не,нэ,
нё,нё,
ни,ни,
но,но,
ну,ну,
ны,ни,
нэ,нэ,
ню,ню,
ня,ня,
па,па,
пе,пэ,
пё,пё,
пи,пи,
по,по,
пу,пу,
пы,пи,
пэ,пэ,
пю,пю,
пя,пя,
ра,ра,
ре,рэ,
рё,рё,
ри,ри,
ро,ро,
ру,ру,
ры,ри,
рэ,рэ,
рю,рю,
ря,ря,
са,са,
се,сэ,
сё,сё,
си,си,
со,со,
су,су,
сы,си,
сэ,сэ,
сю,сю,
ся,ся,
та,та,
те,тэ,
тё,тё,
ти,ти,
то,то,
ту,тю,
ты,ти,
тэ,тэ,
тю,тю,
тя,тя,
фа,фу а,
фе,фу э,
фё,фу ё,
фи,фу и,
фо,фу о,
фу,фу,
фы,фу и,
фэ,фу э,
фю,фу ю,
фя,фу я,
ха,ха,
хе,хэ,
хё,хё,
хи,хи,
хо,хо,
ху,хю,
хы,хи,
хэ,хэ,
хю,хю,
хя,хя,
ца,тя,"возможно, имеет смысл использовать ряд С а не Т"
це,тэ,
цё,тё,
ци,ти,
цо,тё,
цу,цу,
цы,ти,
цэ,тэ,
цю,тю,
ця,тя,
ча,тя,
че,тэ,
чё,тё,
чи,ти,
чо,тё,
чу,тю,
чы,ти,
чэ,тэ,
чю,тю,
чя,тя,
ша,са,
ше,сэ,
шё,сё,
ши,си,
шо,сё,
шу,су,
шы,си,
шэ,сэ,
шю,сю,
шя,ся,
ща,ся,
ще,сэ,
щё,сё,
щи,си,
що,сё,
щу,сю,
щы,си,
щэ,сэ,
щю,сю,
щя,ся,
,,
а,а,
е,э,
ё,ё,
и,и,
о,о,
у,у,
ы,и,
э,э,
ю,ю,
я,я,
,,
б,бу,
в,во,
г,гу,
д,до,
ж,дзю,
з,дзу,
й,и,
к,ку,
л,ру,
м,му,
н,н,
п,пу,
р,ру,
с,су,
т,то,
ф,фу,
х,хо,
ц,цу,
ч,тю,
ш,су,
щ,сю,
,,
ъ,,
ь,,
